SNo,Parameters,Recommendation
1,Throughput=715Mbps | Latency=11ms | Reliability=99.967% | Density=2533devices/km2 | Mobility=58km/h | Error  =Scale lag | StdTag=TS 23.501,"TS 23.501 eMBB QoS tune, URLLC latency hold, mMTC device scale"
126,Throughput=1131Mbps | Latency=15ms | Reliability=99.982% | Density=3384devices/km2 | Mobility=102km/h | Error  =Low jitter | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
127,Throughput=856Mbps | Latency=8ms | Reliability=99.966% | Density=2872devices/km2 | Mobility=92km/h | Error  =Radio load | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
128,Throughput=1184Mbps | Latency=8ms | Reliability=99.961% | Density=2704devices/km2 | Mobility=115km/h | Error  =QoS drift | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
129,Throughput=904Mbps | Latency=11ms | Reliability=99.975% | Density=2998devices/km2 | Mobility=75km/h | Error  =Low jitter | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
130,Throughput=964Mbps | Latency=3ms | Reliability=99.991% | Density=2063devices/km2 | Mobility=51km/h | Error  =Scale lag | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
131,Throughput=816Mbps | Latency=4ms | Reliability=99.951% | Density=3776devices/km2 | Mobility=92km/h | Error  =QoS drift | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
132,Throughput=807Mbps | Latency=8ms | Reliability=99.968% | Density=2614devices/km2 | Mobility=92km/h | Error  =QoS drift | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
133,Throughput=919Mbps | Latency=15ms | Reliability=99.961% | Density=2944devices/km2 | Mobility=49km/h | Error  =Policy miss | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
134,Throughput=1104Mbps | Latency=9ms | Reliability=99.997% | Density=2616devices/km2 | Mobility=100km/h | Error  =Timing skew | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
135,Throughput=706Mbps | Latency=14ms | Reliability=99.989% | Density=2727devices/km2 | Mobility=48km/h | Error  =Buffer warn | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
136,Throughput=671Mbps | Latency=13ms | Reliability=99.979% | Density=2060devices/km2 | Mobility=75km/h | Error  =Link drop | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
137,Throughput=720Mbps | Latency=13ms | Reliability=99.99% | Density=2906devices/km2 | Mobility=100km/h | Error  =QoS drift | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
138,Throughput=1105Mbps | Latency=12ms | Reliability=99.959% | Density=2419devices/km2 | Mobility=75km/h | Error  =Buffer warn | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
139,Throughput=814Mbps | Latency=11ms | Reliability=99.962% | Density=3211devices/km2 | Mobility=118km/h | Error  =Timing skew | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
140,Throughput=1090Mbps | Latency=15ms | Reliability=99.953% | Density=3515devices/km2 | Mobility=31km/h | Error  =Buffer warn | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
141,Throughput=726Mbps | Latency=15ms | Reliability=99.959% | Density=3595devices/km2 | Mobility=118km/h | Error  =QoS drift | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
142,Throughput=681Mbps | Latency=14ms | Reliability=99.97% | Density=3626devices/km2 | Mobility=77km/h | Error  =QoS drift | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
143,Throughput=510Mbps | Latency=5ms | Reliability=99.952% | Density=3793devices/km2 | Mobility=101km/h | Error  =Buffer warn | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
144,Throughput=580Mbps | Latency=15ms | Reliability=99.964% | Density=2804devices/km2 | Mobility=100km/h | Error  =Buffer warn | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
145,Throughput=1194Mbps | Latency=7ms | Reliability=99.987% | Density=2411devices/km2 | Mobility=109km/h | Error  =QoS drift | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
146,Throughput=727Mbps | Latency=11ms | Reliability=99.959% | Density=3070devices/km2 | Mobility=45km/h | Error  =Radio load | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
147,Throughput=758Mbps | Latency=7ms | Reliability=99.951% | Density=3986devices/km2 | Mobility=72km/h | Error  =Scale lag | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
148,Throughput=1144Mbps | Latency=9ms | Reliability=99.971% | Density=3261devices/km2 | Mobility=68km/h | Error  =Sync loss | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
149,Throughput=776Mbps | Latency=7ms | Reliability=99.961% | Density=3109devices/km2 | Mobility=119km/h | Error  =Policy miss | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
150,Throughput=1041Mbps | Latency=15ms | Reliability=99.972% | Density=3914devices/km2 | Mobility=81km/h | Error  =Buffer warn | StdTag=TS 23.503,"TS 23.503 eMBB policy apply, URLLC priority path, mMTC load balance"
151,Throughput=931Mbps | Latency=11ms | Reliability=99.96% | Density=2135devices/km2 | Mobility=104km/h | Error  =Link drop | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
152,Throughput=813Mbps | Latency=4ms | Reliability=99.99% | Density=3543devices/km2 | Mobility=50km/h | Error  =Minor delay | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
153,Throughput=712Mbps | Latency=14ms | Reliability=99.985% | Density=3147devices/km2 | Mobility=73km/h | Error  =Low jitter | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
154,Throughput=951Mbps | Latency=8ms | Reliability=99.951% | Density=3202devices/km2 | Mobility=109km/h | Error  =Minor delay | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
155,Throughput=695Mbps | Latency=13ms | Reliability=99.987% | Density=3193devices/km2 | Mobility=100km/h | Error  =Policy miss | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
156,Throughput=645Mbps | Latency=14ms | Reliability=99.953% | Density=3304devices/km2 | Mobility=86km/h | Error  =Buffer warn | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
157,Throughput=817Mbps | Latency=9ms | Reliability=99.98% | Density=3091devices/km2 | Mobility=94km/h | Error  =QoS drift | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
158,Throughput=1060Mbps | Latency=7ms | Reliability=99.952% | Density=2368devices/km2 | Mobility=112km/h | Error  =Minor delay | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
159,Throughput=577Mbps | Latency=10ms | Reliability=99.965% | Density=2268devices/km2 | Mobility=63km/h | Error  =Low jitter | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
160,Throughput=706Mbps | Latency=13ms | Reliability=99.955% | Density=3150devices/km2 | Mobility=84km/h | Error  =QoS drift | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
161,Throughput=999Mbps | Latency=9ms | Reliability=99.98% | Density=2164devices/km2 | Mobility=67km/h | Error  =Radio load | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
162,Throughput=995Mbps | Latency=9ms | Reliability=99.989% | Density=3030devices/km2 | Mobility=88km/h | Error  =Timing skew | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
163,Throughput=1089Mbps | Latency=9ms | Reliability=99.974% | Density=3224devices/km2 | Mobility=77km/h | Error  =Buffer warn | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
164,Throughput=560Mbps | Latency=7ms | Reliability=99.974% | Density=3731devices/km2 | Mobility=74km/h | Error  =Link drop | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
165,Throughput=897Mbps | Latency=13ms | Reliability=99.951% | Density=2300devices/km2 | Mobility=120km/h | Error  =Buffer warn | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
166,Throughput=1169Mbps | Latency=9ms | Reliability=99.981% | Density=3557devices/km2 | Mobility=55km/h | Error  =Sync loss | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
167,Throughput=977Mbps | Latency=14ms | Reliability=99.995% | Density=2609devices/km2 | Mobility=111km/h | Error  =Link drop | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
168,Throughput=1193Mbps | Latency=5ms | Reliability=99.954% | Density=3851devices/km2 | Mobility=116km/h | Error  =Scale lag | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
169,Throughput=1001Mbps | Latency=13ms | Reliability=99.977% | Density=3489devices/km2 | Mobility=58km/h | Error  =Timing skew | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
170,Throughput=1094Mbps | Latency=9ms | Reliability=99.97% | Density=2898devices/km2 | Mobility=52km/h | Error  =Buffer warn | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
171,Throughput=1058Mbps | Latency=9ms | Reliability=99.977% | Density=3621devices/km2 | Mobility=117km/h | Error  =Scale lag | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
172,Throughput=555Mbps | Latency=8ms | Reliability=99.964% | Density=2697devices/km2 | Mobility=80km/h | Error  =Link drop | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
173,Throughput=851Mbps | Latency=6ms | Reliability=99.962% | Density=2674devices/km2 | Mobility=65km/h | Error  =Timing skew | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
174,Throughput=790Mbps | Latency=14ms | Reliability=99.957% | Density=3941devices/km2 | Mobility=80km/h | Error  =QoS drift | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
175,Throughput=637Mbps | Latency=4ms | Reliability=99.996% | Density=2444devices/km2 | Mobility=97km/h | Error  =Policy miss | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
176,Throughput=703Mbps | Latency=12ms | Reliability=99.98% | Density=2734devices/km2 | Mobility=95km/h | Error  =Timing skew | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
177,Throughput=1125Mbps | Latency=8ms | Reliability=99.972% | Density=3621devices/km2 | Mobility=56km/h | Error  =Link drop | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
178,Throughput=702Mbps | Latency=7ms | Reliability=99.952% | Density=3209devices/km2 | Mobility=86km/h | Error  =Radio load | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
179,Throughput=1089Mbps | Latency=11ms | Reliability=99.984% | Density=3322devices/km2 | Mobility=49km/h | Error  =Low jitter | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
180,Throughput=817Mbps | Latency=6ms | Reliability=99.95% | Density=3540devices/km2 | Mobility=84km/h | Error  =Timing skew | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
181,Throughput=858Mbps | Latency=12ms | Reliability=99.959% | Density=3907devices/km2 | Mobility=107km/h | Error  =Low jitter | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
182,Throughput=1150Mbps | Latency=6ms | Reliability=99.967% | Density=2041devices/km2 | Mobility=102km/h | Error  =Low jitter | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
183,Throughput=1153Mbps | Latency=3ms | Reliability=99.951% | Density=3417devices/km2 | Mobility=41km/h | Error  =Sync loss | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
184,Throughput=756Mbps | Latency=12ms | Reliability=99.964% | Density=3971devices/km2 | Mobility=54km/h | Error  =Timing skew | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
185,Throughput=502Mbps | Latency=12ms | Reliability=99.982% | Density=2566devices/km2 | Mobility=33km/h | Error  =QoS drift | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
186,Throughput=880Mbps | Latency=11ms | Reliability=99.964% | Density=2698devices/km2 | Mobility=111km/h | Error  =QoS drift | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
187,Throughput=904Mbps | Latency=6ms | Reliability=99.996% | Density=2239devices/km2 | Mobility=74km/h | Error  =Buffer warn | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
188,Throughput=1024Mbps | Latency=7ms | Reliability=99.976% | Density=3378devices/km2 | Mobility=84km/h | Error  =Minor delay | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
189,Throughput=956Mbps | Latency=12ms | Reliability=99.978% | Density=3848devices/km2 | Mobility=55km/h | Error  =Policy miss | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
190,Throughput=1082Mbps | Latency=13ms | Reliability=99.953% | Density=3946devices/km2 | Mobility=40km/h | Error  =QoS drift | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
191,Throughput=806Mbps | Latency=5ms | Reliability=99.952% | Density=2138devices/km2 | Mobility=37km/h | Error  =Timing skew | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
192,Throughput=861Mbps | Latency=5ms | Reliability=99.963% | Density=3396devices/km2 | Mobility=91km/h | Error  =Policy miss | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
193,Throughput=827Mbps | Latency=7ms | Reliability=99.955% | Density=3066devices/km2 | Mobility=43km/h | Error  =Scale lag | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
194,Throughput=903Mbps | Latency=10ms | Reliability=99.971% | Density=3522devices/km2 | Mobility=80km/h | Error  =Sync loss | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
195,Throughput=744Mbps | Latency=11ms | Reliability=99.971% | Density=2083devices/km2 | Mobility=53km/h | Error  =Policy miss | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
196,Throughput=929Mbps | Latency=10ms | Reliability=99.953% | Density=3878devices/km2 | Mobility=106km/h | Error  =Timing skew | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
197,Throughput=655Mbps | Latency=14ms | Reliability=99.992% | Density=3914devices/km2 | Mobility=39km/h | Error  =Low jitter | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
198,Throughput=510Mbps | Latency=15ms | Reliability=99.952% | Density=2418devices/km2 | Mobility=112km/h | Error  =Sync loss | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
199,Throughput=902Mbps | Latency=10ms | Reliability=99.952% | Density=2923devices/km2 | Mobility=102km/h | Error  =Radio load | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
200,Throughput=766Mbps | Latency=12ms | Reliability=99.965% | Density=2595devices/km2 | Mobility=58km/h | Error  =Low jitter | StdTag=TS 28.530,"TS 28.530 eMBB resource scale, URLLC service monitor, mMTC lifecycle track"
201,Throughput=948Mbps | Latency=13ms | Reliability=99.987% | Density=3481devices/km2 | Mobility=37km/h | Error  =Link drop | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
202,Throughput=988Mbps | Latency=5ms | Reliability=99.99% | Density=3323devices/km2 | Mobility=47km/h | Error  =Buffer warn | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
203,Throughput=516Mbps | Latency=11ms | Reliability=99.985% | Density=2418devices/km2 | Mobility=58km/h | Error  =Policy miss | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
204,Throughput=1136Mbps | Latency=9ms | Reliability=99.99% | Density=2955devices/km2 | Mobility=90km/h | Error  =Minor delay | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
205,Throughput=938Mbps | Latency=14ms | Reliability=99.979% | Density=2995devices/km2 | Mobility=116km/h | Error  =Scale lag | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
206,Throughput=922Mbps | Latency=8ms | Reliability=99.977% | Density=2127devices/km2 | Mobility=38km/h | Error  =Policy miss | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
207,Throughput=708Mbps | Latency=10ms | Reliability=99.99% | Density=2862devices/km2 | Mobility=32km/h | Error  =Policy miss | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
208,Throughput=1090Mbps | Latency=13ms | Reliability=99.991% | Density=2365devices/km2 | Mobility=97km/h | Error  =Minor delay | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
209,Throughput=897Mbps | Latency=15ms | Reliability=99.971% | Density=2293devices/km2 | Mobility=110km/h | Error  =Policy miss | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
210,Throughput=565Mbps | Latency=7ms | Reliability=99.955% | Density=2053devices/km2 | Mobility=32km/h | Error  =Low jitter | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
211,Throughput=810Mbps | Latency=11ms | Reliability=99.966% | Density=2474devices/km2 | Mobility=46km/h | Error  =Minor delay | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
212,Throughput=703Mbps | Latency=11ms | Reliability=99.988% | Density=3329devices/km2 | Mobility=57km/h | Error  =QoS drift | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
213,Throughput=532Mbps | Latency=6ms | Reliability=99.959% | Density=2478devices/km2 | Mobility=34km/h | Error  =Link drop | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
214,Throughput=606Mbps | Latency=3ms | Reliability=99.988% | Density=2889devices/km2 | Mobility=115km/h | Error  =Radio load | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
215,Throughput=831Mbps | Latency=14ms | Reliability=99.983% | Density=2166devices/km2 | Mobility=94km/h | Error  =Link drop | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
216,Throughput=1097Mbps | Latency=4ms | Reliability=99.978% | Density=3974devices/km2 | Mobility=86km/h | Error  =Sync loss | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
217,Throughput=1044Mbps | Latency=4ms | Reliability=99.957% | Density=2684devices/km2 | Mobility=96km/h | Error  =QoS drift | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
218,Throughput=1046Mbps | Latency=14ms | Reliability=99.954% | Density=2932devices/km2 | Mobility=116km/h | Error  =Minor delay | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
219,Throughput=1154Mbps | Latency=10ms | Reliability=99.957% | Density=3071devices/km2 | Mobility=89km/h | Error  =Scale lag | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
220,Throughput=819Mbps | Latency=7ms | Reliability=99.981% | Density=3732devices/km2 | Mobility=91km/h | Error  =Sync loss | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
221,Throughput=983Mbps | Latency=14ms | Reliability=99.992% | Density=2030devices/km2 | Mobility=100km/h | Error  =Link drop | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
222,Throughput=863Mbps | Latency=9ms | Reliability=99.974% | Density=3537devices/km2 | Mobility=49km/h | Error  =Radio load | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
223,Throughput=506Mbps | Latency=3ms | Reliability=99.969% | Density=2727devices/km2 | Mobility=80km/h | Error  =Sync loss | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
224,Throughput=732Mbps | Latency=5ms | Reliability=99.956% | Density=3857devices/km2 | Mobility=62km/h | Error  =Buffer warn | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
225,Throughput=804Mbps | Latency=12ms | Reliability=99.994% | Density=2349devices/km2 | Mobility=59km/h | Error  =Radio load | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
226,Throughput=933Mbps | Latency=4ms | Reliability=99.981% | Density=2912devices/km2 | Mobility=95km/h | Error  =Radio load | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
227,Throughput=1084Mbps | Latency=13ms | Reliability=99.951% | Density=3066devices/km2 | Mobility=50km/h | Error  =Timing skew | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
228,Throughput=990Mbps | Latency=9ms | Reliability=99.998% | Density=2479devices/km2 | Mobility=109km/h | Error  =Scale lag | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
229,Throughput=1056Mbps | Latency=14ms | Reliability=99.957% | Density=2393devices/km2 | Mobility=81km/h | Error  =Sync loss | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
230,Throughput=1162Mbps | Latency=6ms | Reliability=99.955% | Density=3183devices/km2 | Mobility=56km/h | Error  =Low jitter | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
231,Throughput=997Mbps | Latency=12ms | Reliability=99.992% | Density=2367devices/km2 | Mobility=57km/h | Error  =Low jitter | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
232,Throughput=618Mbps | Latency=12ms | Reliability=99.952% | Density=2121devices/km2 | Mobility=107km/h | Error  =Sync loss | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
233,Throughput=1018Mbps | Latency=7ms | Reliability=99.968% | Density=3375devices/km2 | Mobility=63km/h | Error  =Buffer warn | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
234,Throughput=769Mbps | Latency=13ms | Reliability=99.994% | Density=3047devices/km2 | Mobility=85km/h | Error  =Minor delay | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
235,Throughput=1022Mbps | Latency=9ms | Reliability=99.996% | Density=2933devices/km2 | Mobility=92km/h | Error  =Policy miss | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
236,Throughput=645Mbps | Latency=13ms | Reliability=99.964% | Density=2640devices/km2 | Mobility=83km/h | Error  =Link drop | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
237,Throughput=1181Mbps | Latency=9ms | Reliability=99.966% | Density=2289devices/km2 | Mobility=64km/h | Error  =Buffer warn | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
238,Throughput=726Mbps | Latency=5ms | Reliability=99.985% | Density=3968devices/km2 | Mobility=61km/h | Error  =Minor delay | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
239,Throughput=642Mbps | Latency=14ms | Reliability=99.983% | Density=2171devices/km2 | Mobility=66km/h | Error  =Low jitter | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
240,Throughput=553Mbps | Latency=3ms | Reliability=99.965% | Density=2496devices/km2 | Mobility=70km/h | Error  =Buffer warn | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
241,Throughput=858Mbps | Latency=3ms | Reliability=99.992% | Density=2438devices/km2 | Mobility=61km/h | Error  =Sync loss | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
242,Throughput=669Mbps | Latency=15ms | Reliability=99.96% | Density=3767devices/km2 | Mobility=83km/h | Error  =Minor delay | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
243,Throughput=1078Mbps | Latency=14ms | Reliability=99.974% | Density=3132devices/km2 | Mobility=33km/h | Error  =Timing skew | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
244,Throughput=1114Mbps | Latency=8ms | Reliability=99.968% | Density=3076devices/km2 | Mobility=73km/h | Error  =Buffer warn | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
245,Throughput=523Mbps | Latency=5ms | Reliability=99.994% | Density=3404devices/km2 | Mobility=93km/h | Error  =Policy miss | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
246,Throughput=1182Mbps | Latency=15ms | Reliability=99.988% | Density=2713devices/km2 | Mobility=57km/h | Error  =Link drop | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
247,Throughput=815Mbps | Latency=7ms | Reliability=99.992% | Density=3853devices/km2 | Mobility=77km/h | Error  =Timing skew | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
248,Throughput=841Mbps | Latency=6ms | Reliability=99.988% | Density=3521devices/km2 | Mobility=55km/h | Error  =Low jitter | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
249,Throughput=961Mbps | Latency=13ms | Reliability=99.959% | Density=3148devices/km2 | Mobility=72km/h | Error  =Sync loss | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
250,Throughput=623Mbps | Latency=10ms | Reliability=99.986% | Density=2241devices/km2 | Mobility=89km/h | Error  =Policy miss | StdTag=TS 28.541,"TS 28.541 eMBB resource map, URLLC relation link, mMTC topology sync"
